concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code,definition_chunk,metadata_payload
44054006,Type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,44054006,"A chronic metabolic disorder characterized by high blood glucose levels due to insulin resistance and relative insulin deficiency. Common symptoms include increased thirst, frequent urination, and fatigue.","{""source"": ""SNOMED CT"", ""version"": ""2023-01"", ""prevalence"": ""high""}"
201820,Essential hypertension,Condition,SNOMED,Clinical Finding,201820,"Persistently elevated blood pressure in the arteries without an identifiable cause. Defined as systolic blood pressure >= 140 mmHg or diastolic blood pressure >= 90 mmHg.","{""source"": ""SNOMED CT"", ""category"": ""cardiovascular""}"
312327,Acute myocardial infarction,Condition,SNOMED,Clinical Finding,312327,"Death of heart muscle tissue due to prolonged ischemia, commonly known as a heart attack. Caused by blockage of coronary arteries, leading to chest pain, shortness of breath, and potential cardiac arrest.","{""source"": ""SNOMED CT"", ""severity"": ""critical"", ""emergency"": true}"
4329847,Metformin,Drug,RxNorm,Clinical Drug,4329847,"An oral antihyperglycemic medication used primarily for type 2 diabetes treatment. Works by decreasing glucose production in the liver and improving insulin sensitivity. First-line therapy for type 2 diabetes.","{""drug_class"": ""biguanide"", ""route"": ""oral""}"
1308216,Lisinopril,Drug,RxNorm,Clinical Drug,1308216,"An ACE inhibitor used to treat hypertension and heart failure. Works by relaxing blood vessels and reducing the workload on the heart. Also used to improve survival after myocardial infarction.","{""drug_class"": ""ACE inhibitor"", ""route"": ""oral""}"
40226742,Hemoglobin A1c measurement,Measurement,LOINC,Lab Test,40226742,"A blood test measuring average blood glucose levels over the past 2-3 months. Used for diabetes diagnosis and monitoring. Values >= 6.5% indicate diabetes.","{""units"": ""percentage"", ""reference_range"": ""4.0-5.6%""}"
3004410,Systolic blood pressure,Measurement,LOINC,Clinical Observation,3004410,"The maximum arterial pressure during contraction of the left ventricle of the heart. Normal range is typically less than 120 mmHg.","{""units"": ""mmHg"", ""reference_range"": ""<120""}"
4152194,Coronary artery bypass graft,Procedure,SNOMED,Procedure,4152194,"Surgical procedure to improve blood flow to the heart by grafting vessels to bypass blocked coronary arteries. Used to treat severe coronary artery disease.","{""procedure_type"": ""cardiac surgery"", ""anesthesia"": ""general""}"
2213555,Electrocardiogram,Procedure,SNOMED,Procedure,2213555,"Non-invasive test recording electrical activity of the heart using electrodes placed on the skin. Used to detect arrhythmias, myocardial infarction, and other cardiac conditions.","{""procedure_type"": ""diagnostic"", ""invasive"": false}"
4185711,Body mass index,Measurement,LOINC,Clinical Observation,4185711,"A measure of body fat based on height and weight. Calculated as weight in kilograms divided by height in meters squared. Used to classify underweight, normal weight, overweight, and obesity.","{""units"": ""kg/m2"", ""calculation"": ""weight/height^2""}"
